ledger_id,date,amount,company,reference,status,bank_id,description
L00643,2026-07-13,299.09,Aurora Textiles Ltd,INV-88204,paid,LEDGER-0001,INV-88204
L00759,2026-07-02,42633.48,Meridian Software Inc,INV-91785,paid,LEDGER-0002,INV-91785
L00889,2026-05-29,2863.69,Aurora Textiles Ltd,INV-47132,paid,LEDGER-0003,INV-47132
L00995,2026-07-27,15816.83,Kingfisher Cable Co,INV-49357,open,LEDGER-0004,INV-49357
L00619,2026-05-29,1631.04,Delta Freight Partners,INV-93071,paid,LEDGER-0005,INV-93071
L00985,2026-05-13,2256.35,Umbra Digital Studio,INV-98488,open,LEDGER-0006,INV-98488
L00455,2026-06-04,402.34,Kingfisher Cable Co,INV-25473,paid,LEDGER-0007,INV-25473
L00139,2026-05-30,4913.49,Umbra Digital Studio,INV-63841,paid,LEDGER-0008,INV-63841
L00687,2026-05-16,11213.08,Westgate Facilities Mgmt,INV-40116,paid,LEDGER-0009,INV-40116
L00147,2026-05-08,1847.6,Foxglove Design Co,INV-48452,paid,LEDGER-0010,INV-48452
L00271,2026-07-14,33844.43,Trailmark Equipment Rental,INV-30210,paid,LEDGER-0011,INV-30210
L00856,2026-05-21,23604.89,Trailmark Equipment Rental,INV-73225,paid,LEDGER-0012,INV-73225
L00422,2026-05-13,49346.97,Nightshade Security,INV-27771,paid,LEDGER-0013,INV-27771
L00177,2026-06-27,2867.38,Ironwood Materials,INV-57453,paid,LEDGER-0014,INV-57453
L00322,2026-06-27,40431.68,Pinehill Distributors,INV-79228,paid,LEDGER-0015,INV-79228
L00226,2026-06-16,1244.93,Redstone Contracting,INV-98652,paid,LEDGER-0016,INV-98652
L00713,2026-06-17,14473.96,Vanterra Chemicals,INV-62506,paid,LEDGER-0017,INV-62506
L00401,2026-06-01,60.16,Harbor State Insurance,INV-77632,paid,LEDGER-0018,INV-77632
L00518,2026-05-08,42668.54,Quorum Legal Advisors,INV-29808,paid,LEDGER-0019,INV-29808
L00703,2026-06-01,2824.27,Driftwood Café Group,INV-22190,paid,LEDGER-0020,INV-22190
L00486,2026-07-09,28661.63,Driftwood Café Group,INV-12559,paid,LEDGER-0021,INV-12559
L00162,2026-05-16,5626.34,Marrow Fitness Studios,INV-69609,paid,LEDGER-0022,INV-69609
L00611,2026-07-09,48124.69,Ironwood Materials,INV-93476,paid,LEDGER-0023,INV-93476
L00768,2026-05-31,37664.05,Driftwood Café Group,INV-38039,paid,LEDGER-0024,INV-38039
L00909,2026-06-17,23681.94,Everline Manufacturing,INV-82536,paid,LEDGER-0025,INV-82536
L00578,2026-05-01,459.66,Ivy & Oak Print Shop,INV-11671,paid,LEDGER-0026,INV-11671
L00852,2026-06-16,11467.48,Glacier Point Bank,INV-61390,paid,LEDGER-0027,INV-61390
L00901,2026-07-20,347.33,Zenith Industrial Supply,INV-57089,paid,LEDGER-0028,INV-57089
L00726,2026-07-10,963.54,Northfield Packaging,INV-13455,paid,LEDGER-0029,INV-13455
L00961,2026-07-30,1729.98,Driftwood Café Group,INV-84437,paid,LEDGER-0030,INV-84437
L00674,2026-05-22,1318.48,Orchard Grove Bakery,INV-99861,paid,LEDGER-0031,INV-99861
L00090,2026-05-26,401.55,Everline Manufacturing,INV-12671,paid,LEDGER-0032,INV-12671
L00359,2026-07-02,46073.82,Redstone Contracting,INV-12061,paid,LEDGER-0033,INV-12061
