bank_id,date,amount,description,company,reference,ledger_id
B00422,2026-05-13,49346.97,PAYMENT NIGHTSHADE SECURITY REF INV-27771,Nightshade Security,INV-27771,BANK-0001
B00944,2026-05-31,1540.2,PARTIAL PMT IRONWOOD MATERIALS REF INV-32878,Ironwood Materials,INV-32878,BANK-0002
B01031,2026-07-30,1729.98,PAYMENT DRIFTWOOD CAFÉ GROUP REF IN,,,BANK-0003
B01041,2026-07-08,36034.38,PAYMENTM ERIDIAN SOFTWARE INC REF INV-82235,,,BANK-0004
B00023,2026-05-31,1003.4,PAYMENT UMBRA DIGITAL STUDIO REF INV-17592,Umbra Digital Studio,INV-17592,BANK-0005
B00574,2026-05-13,18550.24,PAYMENT NORTHFIELD PACKAGING REF INV-96832,Northfield Packaging,INV-96832,BANK-0006
B00381,2026-06-04,2213.29,PAYMENT KINGFISHER CABLE CO REF INV-74634,Kingfisher Cable Co,INV-74634,BANK-0007
B00604,2026-05-18,34630.55,PAYMENT HARBOR STATE INSURANCE REF INV-75382,Harbor State Insurance,INV-75382,BANK-0008
B00245,2026-06-29,33925.8,PAYMENT CEDAR & VINE SUPPLY CO REF INV-72722,Cedar & Vine Supply Co,INV-72722,BANK-0009
B00166,2026-05-13,70.41,PAYMENT IRONWOOD MATERIALS REF INV-40775,Ironwood Materials,INV-40775,BANK-0010
B00693,2026-06-06,46884.13,PAYMENT FOXGLOVE DESIGN CO REF INV-35525,Foxglove Design Co,INV-35525,BANK-0011
B00070,2026-05-22,48192.44,PAYMENT NORTHFIELD PACKAGING REF INV-96356,Northfield Packaging,INV-96356,BANK-0012
B00069,2026-06-26,3229.98,PAYMENT EMBERLINE FOODS REF INV-98555,Emberline Foods,INV-98555,BANK-0013
B00527,2026-07-12,285.15,PAYMENT ORCHARD GROVE BAKERY REF INV-87061,Orchard Grove Bakery,INV-87061,BANK-0014
B00510,2026-05-04,45195.18,PAYMENT FENWICK OFFICE SOLUTIONS REF INV-66534,Fenwick Office Solutions,INV-66534,BANK-0015
B00132,2026-05-21,40969.12,PAYMENT HARBOR STATE INSURANCE REF INV-50730,Harbor State Insurance,INV-50730,BANK-0016
B00567,2026-06-28,793.79,PAYMENT ORCHARD GROVE BAKERY REF INV-78195,Orchard Grove Bakery,INV-78195,BANK-0017
B00691,2026-07-18,3240.63,PAYMENT OAKSTONE REALTY HOLDINGS REF INV-96006,Oakstone Realty Holdings,INV-96006,BANK-0018
B00164,2026-07-18,3287.96,PAYMENT OAKSTONE REALTY HOLDINGS REF INV-39015,Oakstone Realty Holdings,INV-39015,BANK-0019
B00390,2026-07-26,4240.77,PAYMENT FOXGLOVE DESIGN CO REF INV-75444,Foxglove Design Co,INV-75444,BANK-0020
B00740,2026-06-29,1178.08,PAYMENT AURORA TEXTILES LTD REF INV-75325,Aurora Textiles Ltd,INV-75325,BANK-0021
B00705,2026-06-03,47620.31,PAYMENT NORTHFIELD PACKAGING REF INV-36170,Northfield Packaging,INV-36170,BANK-0022
B00198,2026-07-16,3502.1,PAYMENT ORCHARD GROVE BAKERY REF INV-17180,Orchard Grove Bakery,INV-17180,BANK-0023
B01069,2026-06-15,22000.9,REFUND - UNSPECIFIED,Cobalt Freight Lines,,BANK-0024
B00459,2026-06-30,51.16,PAYMENT JASPER METALS CORP REF INV-57707,Jasper Metals Corp,INV-57707,BANK-0025
B00320,2026-05-20,1493.82,PAYMENT SOLACE HEALTH SYSTEMS REF INV-69634,Solace Health Systems,INV-69634,BANK-0026
B00237,2026-07-17,11728.38,PAYMENT FENWICK OFFICE SOLUTIONS REF INV-79176,Fenwick Office Solutions,INV-79176,BANK-0027
